Step,Loss,Target Class Prob,Distance,Step,Loss,Target_Class_Prob,Distance
98,0.0,1.0,71.7211,98,0.2256,0.7981,46.6974
99,0.0,1.0,71.7223,99,0.2504,0.7785,46.8005
100,,1.0,,100,0.2055,0.8142,46.9039
101,,1.0,,101,0.2189,0.8034,47.0099
102,,1.0,,102,0.1811,0.8344,47.1164
103,,1.0,,103,0.1943,0.8234,47.2186
104,,1.0,,104,0.1703,0.8434,47.3236
105,,1.0,,105,0.1320,0.8763,47.4293
106,,1.0,,106,0.1444,0.8656,47.5316
107,,1.0,,107,0.1941,0.8236,47.6305
108,,1.0,,108,0.1368,0.8721,47.7279
109,,1.0,,109,0.1306,0.8775,47.8231
110,,1.0,,110,0.1603,0.8519,47.9156
111,,1.0,,111,0.0972,0.9074,48.0041
112,,1.0,,112,0.1291,0.8789,48.0925
113,,1.0,,113,0.1365,0.8724,48.1798
114,,1.0,,114,0.1294,0.8786,48.2680
115,,1.0,,115,0.1122,0.8939,48.3564
116,,1.0,,116,0.1432,0.8666,48.4448
117,,1.0,,117,0.1386,0.8706,48.5352
118,,1.0,,118,0.1162,0.8903,48.6225
119,,1.0,,119,0.1000,0.9048,48.7069
120,,1.0,,120,0.0772,0.9257,48.7887
121,,1.0,,121,0.1013,0.9037,48.8694
122,,1.0,,122,0.2116,0.8093,48.9478
123,,1.0,,123,0.1219,0.8852,49.0309
124,,1.0,,124,0.1595,0.8526,49.1130
125,,1.0,,125,0.0566,0.9450,49.1967
126,,1.0,,126,0.1209,0.8862,49.2752
127,,1.0,,127,0.0673,0.9349,49.3541
128,,1.0,,128,0.1520,0.8590,49.4286
129,,1.0,,129,0.1700,0.8436,49.5011
130,,1.0,,130,0.0990,0.9057,49.5718
131,,1.0,,131,0.0877,0.9160,49.6428
132,,1.0,,132,0.0781,0.9248,49.7133
133,,1.0,,133,0.1009,0.9040,49.7811
134,,1.0,,134,0.1218,0.8854,49.8480
135,,1.0,,135,0.0974,0.9072,49.9142
136,,1.0,,136,0.0949,0.9095,49.9782
137,,1.0,,137,0.0966,0.9079,50.0396
138,,1.0,,138,0.0963,0.9082,50.1002
139,,1.0,,139,0.1372,0.8718,50.1599
140,,1.0,,140,0.0947,0.9097,50.2217
141,,1.0,,141,0.0847,0.9188,50.2847
142,,1.0,,142,0.0985,0.9062,50.3511
143,,1.0,,143,0.1200,0.8869,50.4176
144,,1.0,,144,0.0944,0.9100,50.4838
145,,1.0,,145,0.0635,0.9385,50.5470
146,,1.0,,146,0.0293,0.9711,50.6102
147,,1.0,,147,0.0393,0.9614,50.6721
148,,1.0,,148,0.0943,0.9100,50.7315
149,,1.0,,149,0.0485,0.9527,50.7956
